frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
8,3,car,692,512,861,584
9,3,car,698,530,865,601
23,36,car,547,338,634,383
23,37,truck,919,292,1250,449
23,38,car,440,327,519,377
23,39,car,394,331,420,353
23,40,car,216,330,258,366
23,43,car,346,329,367,346
24,36,car,549,340,637,386
24,37,truck,912,297,1239,452
24,38,car,447,329,526,379
24,39,car,395,333,418,353
24,40,car,228,334,267,367
24,43,car,347,331,367,347
25,36,car,555,342,639,386
25,37,truck,899,305,1210,451
25,38,car,457,331,533,379
25,39,car,391,335,412,353
25,40,car,242,340,274,367
25,43,car,347,332,366,347
25,46,car,296,333,315,345
25,47,car,372,333,391,351
25,49,car,279,334,293,345
26,36,car,557,343,643,388
26,37,truck,895,309,1200,453
26,38,car,463,333,539,381
26,39,car,391,337,410,353
26,40,car,251,343,280,368
26,43,car,348,333,366,347
26,46,car,295,334,315,346
26,47,car,372,333,391,351
26,49,car,280,334,294,346
28,55,truck,748,287,994,399
28,57,car,417,301,445,325
28,58,car,463,299,542,349
28,59,car,997,348,1089,388
28,60,car,238,295,289,333
28,61,car,367,300,393,317
28,62,car,349,301,365,312
28,63,car,391,302,414,319
28,64,car,545,314,616,353
29,55,truck,739,287,978,396
29,57,car,417,301,445,324
29,58,car,463,299,540,349
29,59,car,999,348,1089,387
29,60,car,239,295,288,332
29,61,car,367,300,393,317
29,62,car,349,300,366,311
29,63,car,392,301,415,318
29,64,car,543,314,614,352
30,55,truck,727,286,964,396
30,57,car,417,301,446,326
30,58,car,463,299,541,349
30,59,car,994,347,1091,389
30,60,car,240,296,289,332
30,61,car,367,299,394,317
30,63,car,392,301,416,318
30,64,car,540,314,608,352
31,37,truck,926,333,1014,375
31,55,truck,681,291,881,385
31,57,car,417,300,445,323
31,58,car,466,297,543,347
31,59,car,996,347,1088,386
31,60,car,239,293,293,333
31,61,car,368,299,393,315
31,63,car,392,300,415,318
31,64,car,530,311,590,345
31,65,car,1080,348,1158,387
32,37,truck,928,334,1010,372
32,55,truck,665,296,837,378
32,57,car,417,299,445,323
32,58,car,467,296,544,346
32,59,car,997,347,1087,386
32,60,car,239,291,294,333
32,61,car,368,298,394,315
32,63,car,392,300,416,317
32,64,car,529,311,581,341
32,65,car,1079,348,1157,387
32,67,car,435,300,466,326
32,68,car,574,311,620,348
33,37,truck,929,334,1008,371
33,55,truck,663,296,832,379
33,57,car,416,299,444,323
33,58,car,466,297,544,347
33,59,car,997,347,1087,385
33,60,car,240,292,294,333
33,61,car,368,298,396,316
33,63,car,393,300,417,318
33,64,car,527,310,579,341
33,65,car,1079,347,1157,387
33,67,car,433,300,466,327
33,68,car,573,311,619,348
34,37,truck,929,334,1008,371
34,55,truck,651,298,807,375
34,57,car,417,300,443,322
34,58,car,466,297,544,347
34,59,car,997,347,1088,385
34,60,car,240,292,294,333
34,61,car,368,298,395,316
34,63,car,395,301,418,318
34,64,car,529,311,577,341
34,65,car,1079,347,1156,386
34,67,car,433,299,465,327
34,68,car,573,312,618,348
35,37,truck,930,334,1009,372
35,55,truck,647,299,798,374
35,57,car,417,299,442,321
35,58,car,465,297,544,347
35,59,car,996,347,1090,386
35,60,car,240,291,294,333
35,61,car,368,298,395,315
35,63,car,396,302,418,318
35,64,car,529,311,573,339
35,65,car,1081,347,1158,386
35,67,car,434,300,464,326
35,68,car,573,312,620,348
36,37,truck,931,335,1009,372
36,55,truck,617,300,753,369
36,58,car,467,298,547,349
36,59,car,996,347,1090,386
36,60,car,242,294,293,333
36,61,car,366,297,396,316
36,63,car,395,301,420,319
36,64,car,527,311,569,338
36,65,car,1082,347,1158,386
36,67,car,434,300,466,328
36,68,car,575,312,620,346
37,37,truck,931,335,1008,371
37,55,truck,604,306,717,363
37,58,car,469,298,549,350
37,59,car,995,347,1091,386
37,60,car,242,293,293,333
37,61,car,366,296,396,316
37,63,car,395,301,420,319
37,65,car,1082,347,1159,386
37,67,car,435,299,467,328
37,68,car,574,311,619,346
38,37,truck,931,335,1008,371
38,55,truck,589,308,689,359
38,58,car,476,299,555,350
38,59,car,994,347,1092,386
38,60,car,242,295,292,333
38,61,car,367,298,395,316
38,63,car,395,302,419,319
38,67,car,434,299,467,328
38,68,car,574,311,619,345
38,73,truck,621,305,717,363
39,36,car,599,308,705,363
39,37,truck,930,335,1009,372
39,58,car,474,299,552,350
39,59,car,994,347,1092,386
39,60,car,243,296,291,333
39,61,car,367,298,394,316
39,63,car,395,302,420,319
39,68,car,574,310,619,345
39,73,truck,608,301,707,361
40,36,car,595,301,714,366
40,37,truck,930,335,1010,372
40,58,car,476,299,556,350
40,59,car,994,347,1093,386
40,60,car,242,295,292,334
40,61,car,367,298,394,316
40,63,car,395,301,420,320
40,68,car,576,312,614,340
40,73,truck,597,298,701,361
41,36,car,582,300,687,360
41,37,truck,930,335,1009,372
41,57,car,419,300,447,324
41,58,car,486,301,567,351
41,59,car,992,347,1092,386
41,60,car,243,296,291,334
41,61,car,368,299,393,316
41,63,car,396,302,419,320
41,68,car,577,312,613,339
41,73,truck,580,300,674,358
42,36,car,576,300,672,356
42,37,truck,929,335,1009,372
42,55,truck,484,302,583,352
42,57,car,420,301,446,324
42,58,car,488,301,569,351
42,59,car,993,348,1091,386
42,60,car,242,294,292,334
42,61,car,368,299,393,316
42,62,car,345,301,363,313
42,63,car,396,302,419,320
42,73,truck,574,300,662,356
43,36,car,576,298,674,355
43,37,truck,929,335,1009,372
43,55,truck,462,302,556,350
43,57,car,420,301,446,324
43,58,car,495,299,586,355
43,59,car,992,348,1092,386
43,60,car,242,294,292,334
43,61,car,367,299,393,316
43,62,car,343,301,362,313
43,63,car,396,302,419,320
43,73,truck,571,299,658,355
43,78,car,454,301,492,329
44,37,truck,929,335,1009,372
44,57,car,419,301,445,324
44,58,car,496,299,590,356
44,59,car,991,348,1093,386
44,60,car,242,294,293,334
44,61,car,367,299,394,316
44,62,car,343,301,363,314
44,63,car,396,302,419,320
44,73,truck,563,299,649,354
44,78,car,454,301,492,330
45,37,truck,929,335,1009,372
45,57,car,418,301,444,324
45,58,car,498,299,593,356
45,59,car,991,348,1093,386
45,60,car,242,294,292,335
45,61,car,368,299,394,316
45,62,car,344,301,363,314
45,63,car,395,302,418,320
45,78,car,455,302,491,329
46,37,truck,928,335,1009,372
46,57,car,418,301,444,324
46,58,car,532,301,632,358
46,59,car,992,348,1092,386
46,60,car,242,294,293,335
46,61,car,368,299,394,316
46,62,car,344,301,363,314
46,63,car,394,302,418,320
46,78,car,438,299,479,330
47,37,truck,929,335,1010,372
47,58,car,549,301,652,357
47,59,car,990,348,1094,386
47,60,car,242,294,293,334
47,63,car,395,302,419,320
47,78,car,435,299,476,330
48,37,truck,929,335,1010,372
