frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
2,1,car,1004,336,1264,452
2,2,truck,528,281,687,398
2,3,car,441,315,464,329
2,4,car,422,315,440,327
2,5,car,346,309,361,318
3,1,car,985,338,1241,451
3,2,truck,534,283,696,401
3,3,car,441,316,464,330
3,4,car,421,316,441,329
3,5,car,347,310,362,319
4,1,car,959,340,1197,444
4,2,truck,544,277,731,414
4,3,car,440,318,464,333
4,4,car,420,317,441,331
4,8,car,393,316,414,327
4,9,car,484,320,518,346
5,1,car,925,340,1161,443
5,2,truck,557,276,759,423
5,3,car,441,324,464,338
5,4,car,420,321,440,334
5,8,car,391,320,416,333
5,9,car,484,324,519,350
6,1,car,903,342,1132,441
6,2,truck,573,282,783,435
6,3,car,440,327,464,342
6,4,car,423,326,441,339
6,8,car,391,321,417,335
6,9,car,485,327,518,352
7,1,car,873,343,1091,438
7,2,truck,592,284,815,444
7,3,car,441,331,465,345
7,4,car,422,330,441,343
7,9,car,483,330,518,356
7,11,car,345,323,361,332
7,12,car,539,337,563,358
8,1,car,852,342,1070,438
8,2,truck,615,286,847,450
8,3,car,442,333,465,347
8,4,car,423,332,441,345
8,9,car,486,335,518,358
8,11,car,345,324,360,333
8,12,car,538,339,562,359
8,16,car,1162,376,1230,415
9,1,car,857,346,1054,434
9,2,truck,634,282,893,460
9,3,car,441,334,465,349
9,4,car,423,333,441,346
9,8,car,394,331,417,343
9,9,car,487,336,516,358
9,12,car,539,340,564,361
9,16,car,1165,377,1232,415
10,1,car,840,348,1029,432
10,2,truck,655,274,946,471
10,3,car,441,336,465,350
10,4,car,422,335,442,348
10,8,car,395,333,417,346
10,9,car,485,338,514,360
10,12,car,538,342,565,364
10,16,car,1164,377,1233,416
10,19,car,1046,377,1139,415
10,21,car,562,344,598,368
11,2,truck,683,272,998,481
11,3,car,442,340,463,352
11,4,car,422,337,442,350
11,8,car,395,336,418,348
11,9,car,486,340,514,361
11,12,car,539,344,565,365
11,16,car,1164,378,1231,417
11,19,car,1044,378,1137,415
11,21,car,560,345,594,368
11,23,car,516,342,542,360
11,25,car,372,335,390,344
12,2,truck,709,268,1057,491
12,3,car,444,342,463,353
12,4,car,422,340,440,352
12,9,car,486,341,514,362
12,11,car,344,334,359,343
12,12,car,538,345,565,367
12,16,car,1164,379,1230,417
12,19,car,1043,379,1134,415
12,21,car,558,346,593,369
12,23,car,516,342,544,362
12,25,car,373,336,391,346
12,27,car,468,342,494,359
13,2,truck,743,255,1143,506
13,3,car,443,342,464,355
13,4,car,421,342,439,354
13,9,car,486,343,513,364
13,11,car,344,336,360,345
13,12,car,537,346,564,369
13,21,car,558,347,596,373
13,23,car,515,343,545,364
13,25,car,373,337,392,347
13,27,car,468,342,496,361
13,28,car,617,348,656,383
14,2,truck,761,253,1178,515
14,3,car,443,344,464,357
14,4,car,421,344,439,356
14,11,car,344,338,359,347
14,12,car,538,350,566,373
14,16,car,1164,379,1231,418
14,19,car,1041,379,1139,417
14,21,car,559,350,596,376
14,23,car,515,344,545,365
14,27,car,467,342,496,362
14,28,car,617,350,657,386
14,29,car,1,363,53,418
15,12,car,539,352,566,374
15,16,car,1164,379,1229,418
15,19,car,1040,379,1138,418
15,21,car,559,351,595,377
15,28,car,617,352,657,387
15,29,car,1,366,54,422
16,12,car,539,352,566,374
16,16,car,1164,380,1229,418
16,19,car,1038,379,1139,418
16,21,car,560,352,595,377
16,28,car,617,352,657,387
16,29,car,1,367,53,422
16,30,car,821,362,893,400
16,31,car,687,354,794,409
17,1,car,676,365,777,411
17,12,car,540,352,566,374
17,19,car,1038,379,1141,419
17,21,car,561,352,595,377
17,28,car,619,352,662,388
17,29,car,2,368,52,422
17,30,car,822,363,893,400
17,31,car,686,355,791,408
18,1,car,655,368,745,408
18,12,car,540,353,567,375
18,19,car,1037,379,1143,419
18,21,car,561,353,595,378
18,28,car,621,353,663,388
18,29,car,1,368,53,423
18,31,car,676,364,766,410
18,33,car,284,343,341,379
18,34,car,1164,349,1268,471
19,12,car,540,354,567,377
19,19,car,1037,379,1143,420
19,21,car,561,354,595,379
19,28,car,626,356,674,394
19,29,car,0,367,54,424
19,31,car,673,367,758,410
19,33,car,283,343,340,380
19,34,car,1090,341,1200,462
20,12,car,539,352,566,375
20,28,car,625,357,674,395
20,29,car,0,367,53,423
20,33,car,284,343,340,378
20,34,car,1053,342,1157,451
21,12,car,539,352,567,375
21,16,car,1163,378,1230,418
21,21,car,560,352,594,378
21,28,car,620,357,671,395
21,29,car,0,367,53,423
21,33,car,284,343,340,378
21,34,car,1023,342,1126,442
22,12,car,538,352,567,375
22,16,car,1164,378,1233,419
22,21,car,561,352,595,378
22,28,car,611,352,667,393
22,29,car,0,366,54,425
22,33,car,285,344,339,379
22,34,car,1004,343,1112,442
23,12,car,538,352,566,375
23,16,car,1164,378,1231,419
23,21,car,562,352,596,378
23,27,car,447,345,474,365
23,28,car,608,353,666,395
23,29,car,0,366,55,426
23,33,car,284,344,340,379
23,34,car,989,344,1100,442
24,12,car,537,352,565,375
24,16,car,1164,378,1230,419
24,19,car,1045,380,1143,418
24,21,car,562,352,596,379
24,25,car,370,345,391,356
