frame_index,track_id,class_name,bbox0,bbox1,bbox2,bbox3
32,25,car,699,179,832,220
32,42,car,312,175,331,189
32,51,car,245,174,261,182
32,57,car,170,173,203,203
32,68,car,203,173,217,190
32,73,person,220,172,231,191
33,3,car,640,180,705,210
33,16,car,360,175,387,194
33,22,car,408,181,448,203
33,25,car,699,178,833,219
33,42,car,312,175,331,189
33,51,car,244,173,261,183
33,57,car,170,173,203,203
33,68,car,203,173,217,190
33,73,person,220,171,232,192
33,75,car,467,185,567,213
34,3,car,640,180,705,210
34,22,car,409,180,450,202
34,25,car,699,178,834,219
34,42,car,312,175,332,190
34,51,car,244,173,261,183
34,57,car,170,172,203,203
34,68,car,203,173,216,190
34,73,person,220,171,232,192
34,75,car,446,184,542,212
35,3,car,640,180,705,209
35,22,car,409,180,450,202
35,25,car,699,177,834,219
35,42,car,311,175,333,190
35,51,car,244,173,259,182
35,57,car,170,172,203,203
35,68,car,203,173,216,189
35,73,person,220,171,232,192
35,75,car,423,181,523,210
36,3,car,639,179,705,210
36,16,car,359,175,388,194
36,25,car,699,178,834,218
36,42,car,311,175,332,190
36,51,car,243,173,258,182
36,57,car,169,173,203,203
36,62,car,330,175,355,191
36,68,car,203,173,216,189
36,73,person,220,171,232,192
36,75,car,399,179,503,209
37,3,car,639,179,706,210
37,16,car,359,175,388,195
37,25,car,699,178,834,218
37,42,car,311,175,333,191
37,51,car,244,174,258,182
37,57,car,169,173,203,203
37,62,car,330,175,354,191
37,68,car,203,173,216,189
37,73,person,221,171,233,193
37,75,car,383,179,480,208
38,3,car,639,179,706,210
38,16,car,359,175,388,195
38,25,car,699,178,834,218
38,34,car,348,175,372,194
38,42,car,311,174,332,191
38,51,car,244,174,258,182
38,57,car,169,173,203,203
38,62,car,330,175,355,192
38,68,car,202,173,216,189
38,73,person,221,171,234,194
38,75,car,374,178,473,208
39,3,car,640,180,704,210
39,16,car,360,176,386,194
39,25,car,697,178,834,218
39,34,car,350,175,372,193
39,42,car,311,175,332,191
39,51,car,243,174,258,182
39,57,car,169,173,203,203
39,62,car,331,176,354,192
39,68,car,203,173,217,189
39,73,person,222,171,235,195
39,75,car,367,179,454,205
40,3,car,640,180,704,210
40,16,car,360,176,386,194
40,25,car,697,178,834,218
40,34,car,349,176,371,192
40,42,car,310,175,332,191
40,51,car,243,174,257,182
40,57,car,169,173,204,203
40,62,car,331,176,354,192
40,68,car,203,173,217,188
40,73,person,222,171,236,196
40,75,car,352,178,434,203
41,3,car,641,180,704,209
41,22,car,407,180,450,202
41,25,car,697,178,834,218
41,34,car,350,176,372,192
41,42,car,310,175,332,191
41,51,car,243,174,259,182
41,57,car,169,173,204,203
41,68,car,202,172,216,188
41,73,person,223,171,237,197
41,75,car,341,177,415,201
42,3,car,640,180,705,209
42,22,car,406,179,449,202
42,25,car,696,178,834,218
42,51,car,243,174,259,183
42,57,car,169,172,203,203
42,58,car,243,175,254,183
42,68,car,203,172,217,188
42,73,person,224,172,237,196
42,75,car,331,177,398,199
43,3,car,640,180,705,209
43,22,car,406,179,449,203
43,25,car,696,178,835,218
43,57,car,169,172,204,203
43,58,car,241,174,252,183
43,68,car,203,172,217,188
43,73,person,223,172,237,196
43,75,car,326,177,389,198
44,3,car,639,180,706,209
44,22,car,405,179,449,203
44,25,car,696,178,834,218
44,57,car,169,172,204,203
44,62,car,330,176,360,197
44,68,car,204,172,218,187
44,73,person,224,172,238,196
44,75,car,313,177,373,197
45,1,car,204,172,222,188
45,3,car,640,180,705,209
45,22,car,407,179,449,203
45,25,car,696,178,835,218
45,34,car,363,177,389,196
45,57,car,169,172,204,203
45,62,car,326,176,357,198
45,68,car,204,172,218,187
45,73,person,224,172,237,196
45,90,car,296,171,320,187
46,1,car,205,172,221,187
46,3,car,640,180,706,209
46,16,car,361,177,386,194
46,22,car,407,179,450,203
46,25,car,696,178,835,218
46,34,car,365,177,392,197
46,57,car,169,173,204,203
46,62,car,323,175,353,196
46,73,person,222,172,235,195
46,90,car,295,171,321,188
47,1,car,206,173,221,186
47,3,car,640,180,706,209
